Names,Price,Links
"*AS IS* Apple iPad Air 4th Gen. 64GB, Wi-Fi, 10.9 in - Sky Blue Read Description",$299.00,https://www.ebay.com/itm/185824588247?epid=6040897172&hash=item2b440231d7:g:htcAAOSwpxJkGH6D&amdata=enc%3AAQAIAAAA4E%2BDs3w%2BRxBw%2FFM%2BxzuUOPFde%2BLMb1HDmarySRQOd%2BsfquNdyXzMH%2FScPEfMJzjUDgKQ78ahMpBv%2FCyb3ut4o4zL13chfo4ahTCWEzzvVMstP5uU5hW7j0CB1U3BjSn%2B0dlda6sU%2BXXragPFXuqMWBwmPkQK2%2BRpzwP7XVHn%2BUF1XO2Qiy2M8XhHqGWJxXk3%2BxRMV1qWx4Dnqs47QRmD%2BxviSx3z2hnLZqpi4csOMcvKPnrQWpeEixTzxp2Uvxs3m1I7QJ%2Fxfxd8qLCh4i8eoHmlOsAqwAykEeIwbnHp6Z4T%7Ctkp%3ABk9SR67Pl9mVYg
New sealed Apple iPad Mini 4 128GB Wi-Fi 7.9 in Space Gray MK9N2LL/A Grey,$289.99,https://www.ebay.com/itm/185882751054?epid=216598788&hash=item2b4779b04e:g:RWAAAOSwGxRkVA0N&amdata=enc%3AAQAIAAAA4I%2FRQpkeymM2Hcx0BIkiwR4z%2FAYHuFiZPZOk5F9vTsGEXYbGk4MWah5fp00hX%2FkrE%2BHuT5Re66eNSxyU0DcLoMxJzexmcw0Tx9UGC4D8Gj6Q1mpO44gcg0w%2B85cC5AH0JciI8iVhaLXtrL01%2Bf6ey3zYLz%2BGnARIG%2BUJjA4YtkuLk7o3nKMvWDDqRh6zA8C2OXZu9N5ZpiOw3yXT16rF3IpniIk3iedrPMxynYSAJWn4uNgUWY4KzY00ku9QO71ckJtPW4ICAxaspdySsDwDhqi%2BZIZB4L7l0JlU%2FmAE8TEJ%7Ctkp%3ABk9SR67Pl9mVYg
Apple iPad 9th Gen. 64GB - Wi-Fi + Cellular (T-Mobile) - 10.2 in - Space Gray,$234.42,https://www.ebay.com/itm/235031703529?epid=28049396770&hash=item36b8fb2fe9:g:~mgAAOSwmk5kdoSl&amdata=enc%3AAQAIAAAAwAEGWFiSda9wDyxqGmkYdXUZLH4Xk5%2BsyKWlDjvOSWobK4d4wm4Zeyct4WMTMm78ts2OszZXrHOhVS%2Fp0GHfdpmfyw7bicjoA7PinWLpZqJNqqWtTkCcm2mfGRAOu9PmVkOcnIJKMNBGuhioRYMLxJub7Myv8uZKBq5ibRO3AuNXO65uMNc2gbNsu38zsLULPmQb6G8JUEDhyrTJUq6zXA5BGvpyiBdZL4qzgh%2FYmw7RtehZlJXxrwvSgzzjMt9gKg%3D%3D%7Ctkp%3ABk9SR67Pl9mVYg
"Apple iPad 8 2020 (8th Gen) 10.2"" Factory Unlocked (WiFi + 4G Cellular)",$264.99,https://www.ebay.com/itm/324862991122?epid=19040886091&hash=item4ba357db12:g:fMUAAOSwU9Zhgf2J&amdata=enc%3AAQAIAAAA0Ek5%2BHlQ0%2B699P0drCIgxRN923523pptIhR690MTk9DPO%2BpKRUNp%2B8mYnaabPLG7bsYHRFwfOyyIpNXGeWJhDMwkVa4xtZOBJqSGcy7BaVeOB7KatN5HsXwYarmmqAfc2hnSPe%2BZGNxZO1Js%2FtMszK47GRNlsBMYo%2FmRB29P%2Fcdwo23PcrGXODYlwF5uvGN2P0hgkRWa28lOiReyYvrkOCg4myfOkuDqq89pUSfYRDr5%2FfezXBFZAXb8NgVpAFVIi6L1o8G2y7ZhLzBxOjKTZik%3D%7Ctkp%3ABFBMrs-X2ZVi
Apple iPad 6th Gen (2018) - 32GB - All Colors - Wi-Fi + 4G Unlocked - Good,$154.99,https://www.ebay.com/itm/194793039180?epid=243957323&hash=item2d5a91e54c:g:6P0AAOSwMhRh-p0R&amdata=enc%3AAQAIAAAA0C9Yg%2FMmUS4%2BYWsVxlIAIwDvX8WfLltUqbgWXYZ4%2B0dMXWTFBlBVGeUmvpqVB5lWMWSTCw0ydS2abdA3u9I7c6rfOOSXDqbF%2BvjS0EmjUgQIaBKJuzlV0YgrDTDu9MQjgP65ELopoyFEUiGzp7B2OrblCef9%2F1Q8JI5yuK4FfgFgMG7uAp49lGruz3xdrpd8HENjjFy293SFrxVdlLp1ZXdLnuOooKOycKsTfchZnY%2Bs3ul0zGAOu1%2Bvlgv%2F4srHk9yEztBoi2ogUIcpCXTq%2FjA%3D%7Ctkp%3ABFBMrs-X2ZVi
Brand New Sealed Apple 10.2-Inch iPad 9th Generation with Wi-Fi  64GB 256GB,$299.00,https://www.ebay.com/itm/125079977869?epid=15049285841&hash=item1d1f58ff8d:g:5pYAAOSwGcVhYEsf&amdata=enc%3AAQAIAAAA4DWr8vRhe%2FiRg1J0PV5slTjQf5g6E6EmBAJz2JcB2MU1odqkdNlz1A%2BTpQpn83xkN6W73K9xxcGe4GBH9ipXVkNZ2vJIsodF%2BiYqPaBXs0KTAED5ks5c3D%2BzBPgFqs4QLlLVE%2F07cHhLliwp97FaZyvccgPzo1cITCPOKHS7VzbgYSkgjXRD01jRGyD7xb0Az0IB0PwFvnw8y%2FCVsdogWYCGR%2BqAMSIwH4xpvFI9QrHI1uFXYdnqEBSYPVAhBaJNS4Q%2FRrwWdQY91mD5XIQjm4TmuXTOg%2BnZ81PsFPoV%2F29U%7Ctkp%3ABk9SR67Pl9mVYg
Apple iPad 10 64GB Silver Unlocked Fair Condition,$299.99,https://www.ebay.com/itm/285299895083?epid=2328171852&hash=item426d32eb2b:g:8PIAAOSwu55kbl3f&amdata=enc%3AAQAIAAAAwLXrWeWUSmZNaSgxVSqmeTCrKIQkatkamecX7MlB9HFB0UWRGPieI3XoWPzrlpCbRH9eI7cGXQEqicBmV8xnWYiieeEilslYVvZ1oUA07wIiDQh3cGMKEWu1Y8qmh8Zbmkw43e1QCXRIE1lfb3dpJ3H9Nvwr7i%2FSKZ3Y0pt3EbFz9%2FkbrgpveNcLUrNwWWeH6FtW0zJx%2FJjLhaA6bG3XQsXMU4vCjg%2Fj9%2Be851QpWW%2BeDEoDzOQKCaNNDJw37sKHEQ%3D%3D%7Ctkp%3ABk9SR67Pl9mVYg
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Silver",$194.95,https://www.ebay.com/itm/175741587162?epid=2301649792&hash=item28eb03ceda:g:LGsAAOSwUd1kXnl5&amdata=enc%3AAQAIAAAAwI0pc2RyelFjwUEeNOhyKYmSuWiZUhv19qKsWKoFDblJ4lg%2FADyV%2Bw4KxJ3PF6fbnnTACM1HLhhTA%2FfaX5uhCbW8W%2BhY9Xr6qN6cdmPqZbaKNl%2FU0A3AxhIEBy3yAsrcy7UJxBUMIgQNtQNJCLNEeqMR6aDCjdaMd8Xe4cdx6G0qTPB6znP0h%2FEPTqo8eHYz8a7xkbgboH0CKMWEyM4qW9w%2BeiHHprlGYAo4qi9eyeuBR3jQgQjhye9ESe77Y%2F4kKg%3D%3D%7Ctkp%3ABk9SR67Pl9mVYg
"Apple iPad Air 4th Gen. 64GB, Wi-Fi, 10.9 in - Space Gray",$309.99,https://www.ebay.com/itm/374611420065?epid=15040889178&hash=item573894a3a1:g:P68AAOSwlfZkLvKl&amdata=enc%3AAQAIAAAA4MNXju3rt2Zk44a164Rr3pJvq3AyJBS1Uindv3%2BgZ27iojjkiyn3o50PVSY%2Fhfd6ZkSV2e4KTxfBEEmSSKYvUCfjQoD7T3VG5MbCg5isqRCQ2NjwAZvm3hl1FcdOuV7eI%2BicCnILq%2Ft2WrYdYdtyOHMreU0szCIBf5n20AMAOO3wn%2F2JOG5qJM9erqDW1WbgU45Fa%2Btq0U8UJPPOsvfnf2I39N0oubmUP67TZ3jLuwRi05NhtmCZqFRMkkER7IdbmW2q7WNUFTppQPYIjKVDMivseXuyWht4mk3xOD%2B3nsmL%7Ctkp%3ABk9SR67Pl9mVYg
"Apple iPad Air 4th Gen. 64GB, Wi-Fi, 10.9 in - Space Gray Spot on the screen",$329.00,https://www.ebay.com/itm/275874894117?epid=15040889178&hash=item403b6cd125:g:kaQAAOSwYOdkcl9M&amdata=enc%3AAQAIAAAA4OUN%2B7MamwjmU6tHmMkCVLe2KS4hNH1XvNJXmfAy3bnOdFlhLlPlroi3X%2B8OU3ifnYJ9gRAL1Ftj5RkP3M2jCPLxGHap8lqZCsfla10L200zlbS8VS5I0lO4llbilLmStFg1%2FcYy5dp8lgkTVxe1l61osm7yeA7SBPw72mIRpz7Hk0uJVzqep%2FWV%2FHUCovvv%2BRwUt00S3ecYNVk%2FwXeFkvdIMY3yxEzpjEYFH974oqh4mve6kgQ698z7DBzFuYRKHoBRbh0tbOljxVyb86tj4zvKokarxzk6UVZRLcs8MlrB%7Ctkp%3ABk9SR67Pl9mVYg
